INN	CRED	DF	OST
196733777359	CKGH5WWC	01.07.2021	3665
5787762049	OCSUP90K	01.07.2021	9448
0934137748	9AS8YF34	01.07.2021	8789
441822854493	ISRIA4CN	01.07.2021	1518
196733777359	W6JAK3NI	01.07.2021	4046
8164410539	6X3FM24N	01.07.2021	12074
4387541157	PTSU59DA	01.07.2021	7359
227660566320	TO0XNGQ2	01.07.2021	14311
4691071097	9SGJ0C67	01.07.2021	7270
1160782664	S80TIZQJ	01.07.2021	4627
196733777359	C95CYYCE	01.07.2021	12771
4691071097	K2K3SNXW	01.07.2021	9160
3179029519	2024BVA7	01.07.2021	1325
565476724238	YVGGZ41I	01.07.2021	1207
0290271991	S962XUJP	01.07.2021	8236
071086331207	4FI1BDX5	01.07.2021	3773
745643345730	WE3W7US5	01.07.2021	9273
780797148923	UBL2JEWM	01.07.2021	10200
226457514910	717QDE6W	01.07.2021	3846
334433729045	MA0Q4P72	01.07.2021	9116
4691071097	PXJHDVP4	01.07.2021	11030
950868863368	SO9XW2DO	01.07.2021	10296
8164410539	KCF33876	01.07.2021	10382
900399860887	MNM9UYJW	01.07.2021	12308
4387541157	4JYPQD4H	01.07.2021	4082
4387541157	Q4C39L93	01.07.2021	4388
145363944441	W5ZZ43V8	01.07.2021	11379
4970580948	O0Y61G2M	01.07.2021	13625
7424446757	O0RTOU5J	01.07.2021	12755
137175390694	A7C60UG9	01.07.2021	10516
7123117752	85M72W2T	01.07.2021	4861
334433729045	PYVGG9DR	01.07.2021	7654
8122561472	S91LYMXY	01.07.2021	1726
145363944441	W36L0M31	01.07.2021	5231
1739921113	WFMR09X9	01.07.2021	10742
5787762049	OCSUP90KK	01.07.2021	12591
226457514910	K3Y59R2Z	01.07.2021	8190
950868863368	G4DCZ6P1	01.07.2021	1708
4691071097	80DUSLLO	01.07.2021	6865
1160782664	I6BYANKA	01.07.2021	3796
306173632952	S4DUTRCX	01.07.2021	4562
2029812407	614JK7SW	01.07.2021	6348
5787762049	UP2Q0CG5	01.07.2021	9799
197553400466	NS5R1F6T	01.07.2021	13918
8164410539	4LYW64W4	01.07.2021	10262
147860679878	K95X3GPQ	01.07.2021	9901
306173632952	RKR9L95S	01.07.2021	10038
6133874085	TX5GHSC9	01.07.2021	1540
3179029519	ÎQGÎ6V4L	01.07.2021	1023
018184587217	IZZIQMXH	01.07.2021	7413
441822854493	ZRJB63EF	01.07.2021	4140
0290271991	W4FM9ALX	01.07.2021	12378
226457514910	LHFPCN2Z	01.07.2021	13543
6133874085	54BVU63Q	01.07.2021	11902
7997336924	NHNNÎRUG	01.07.2021	6132
137175390694	VSRVV9CS	01.07.2021	6232
4691071097	ZJB6YK5H	01.07.2021	12452
579601554699	NILH86P1	01.07.2021	4461
925929274051	OCSUP90K	01.07.2021	7683
459797763596	GCVJK 61	01.07.2021	9061
4387541157	ERJWAQQQ	01.07.2021	5037
7997336924	54BVU63Q	01.07.2021	12523
900399860887	FWRH7VLL	01.07.2021	10169
7123117752	8W45IUFE	01.07.2021	8872
4691071097	IGEDPN5S	01.07.2021	13827
0934137748	PBLE2RA0	01.07.2021	1062
4387541157	979ZS0EO	01.07.2021	1571
107428961174	8DY9U95W	01.07.2021	2245
0290271991	QTFKJYLC	01.07.2021	7336
137175390694	QB5LR3NG	01.07.2021	12493
7424446757	I3M4QAI4 	01.07.2021	10884
0290271991	FF5Y0VMN	01.07.2021	8228
4970580948	VFFS5UTR	01.07.2021	2948
900399860887	W4FM9ALX	01.07.2021	6217
7123117752	07WVLWMK	01.07.2021	1726
196733777359	TZ0Y17H8	01.07.2021	4961
107428961174	LAIN8MUZ	01.07.2021	7007
5787762049	L2GMO8ZE	01.07.2021	9225
071086331207	TBN39NED	01.07.2021	13634
306173632952	OQGO6V4L	01.07.2021	13914
6133874085	UMEYFQD6	01.07.2021	2435
4387541157	5LCJK82H	01.07.2021	8764
459797763596	3PJ12C87	01.07.2021	3826
107428961174	JUC0EP5Q	01.07.2021	5183
441822854493	YIDOOKW7	01.07.2021	12057
950868863368	KZ51BA9T	01.07.2021	13205
459797763596	I03GBRSO	01.07.2021	10519
4970580948	EOOIWL7V	01.07.2021	1304
5779709784	H1V69CZD 	01.07.2021	11085
780797148923	X3MGQAGP	01.07.2021	8024
196733777359	6J5RH0DY	01.07.2021	9354
900399860887	VSRVV9CS	01.07.2021	11407
5787762049	LR24R47L	01.07.2021	2532
8164410539	GHP45YDK	01.07.2021	13298
227660566320	BFO7PK6R	01.07.2021	5886
018184587217	9N1NJ6KP	01.07.2021	14345
147860679878	UC4I8D0S	01.07.2021	8552
3211764647	O1JPIWA7	01.07.2021	13011
4691071097	3YAMC41Q	01.07.2021	10048
145363944441	0ITJL3BB	01.07.2021	11855
2029812407	NJH4XF74	01.07.2021	10857
018184587217	YCHH3EL1	01.07.2021	9213
107428961174	4TI74NTR	01.07.2021	3551
334433729045	DKD0VN7I	01.07.2021	9231
018184587217	XWT2OD8B	01.07.2021	5002
147860679878	UY2WTBSS	01.07.2021	9097
197553400466	7EK9I3TQ	01.07.2021	13159
0934137748	XQ1BQPS6	01.07.2021	7473
0290271991	UY2IETAN	01.07.2021	2320
4387541157	DKD0VN7I	01.07.2021	1654
4691071097	2JYBZK0S	01.07.2021	13508
196733777359	LKK6MMTB	01.07.2021	6023
780797148923	C95CYYCE	01.07.2021	14675
459797763596	4JYPQD7H	01.07.2021	13920
7123117752	08RT1155	01.07.2021	12446
137175390694	YXME1FJ9	01.07.2021	10826
8122561472	1NQ8TKQK	01.07.2021	1366
0290271991	UHSJQ2OV	01.07.2021	4343
147860679878	PWOK38FB	01.07.2021	11698
7424446757	EDP0CVVA	01.07.2021	6808
441822854493	FZO2B7JI	01.07.2021	5719
6133874085	U1HITLV1	01.07.2021	4892
900399860887	A9PCF1NO	01.07.2021	3989
147860679878	4Z482F8K	01.07.2021	9174
441822854493	OCSUP90K	01.07.2021	9992
1739921113	JYWMWFMI	01.07.2021	12591
2029812407	CA1XQLZD	01.07.2021	12240
900399860887	ZVR3NBB6	01.07.2021	14305
018184587217	4DX2JN0R	01.07.2021	1632
7123117752	80DUSVLO	01.07.2021	5425
145363944441	EYGVBSAT	01.07.2021	3469
8164410539	SIQDYR70	01.07.2021	14181
8164410539	JKOL3WHY	01.07.2021	10601
459797763596	ZF1Q2VSP	01.07.2021	4935
950868863368	WRAGQZRT	01.07.2021	1688
4691071097	HZ0FEIDM	01.07.2021	13920
4387541157	0DIX8PEB	01.07.2021	6493
780797148923	95H121YV	01.07.2021	12169
950868863368	KCF33876	01.07.2021	10431
227660566320	749XGQ2E	01.07.2021	11634
3179029519	VIS6V9LK	01.07.2021	10793
900399860887	LPEN5I8T	01.07.2021	9098
1739921113	JPVAEB26	01.07.2021	11834
018184587217	D7BR2Z1Y	01.07.2021	12608
