INN	HOLDING	DB	DE
6581059845	AROA	01.01.2021	01.03.2021
3211764647	MKHB	01.05.2020	01.08.2021
5779709784	AMXY	01.01.2020	01.08.2021
5787762049	AROA	01.01.2020	01.08.2021
1160782664	JNIS	01.05.2020	13.08.2021
0290271991	AROA	01.01.2020	01.08.2021
0934137748	BDZX	01.01.2020	01.08.2021
8580960492	DFCD	01.01.2020	01.08.2021
7123117752	ZVDR	01.01.2020	13.08.2021
8464580902	KRLV	01.01.2020	13.08.2021
6133874085	JNIS	01.05.2020	01.08.2021
6705527674	YRKT	01.05.2020	13.08.2021
4940955916	WSSD	01.01.2020	01.08.2021
8164410539	JNIS	01.01.2019	01.04.2020
3179029519	YRKT	05.04.2021	05.06.2021
2034217713	BDZX	01.01.2020	01.08.2021
2611931207	YRKT	01.01.2020	13.08.2021
7997336924	BDZX	01.05.2020	13.08.2021
8754864917	BDZX	01.01.2020	01.08.2021
7743362088	JNIS	01.01.2020	01.08.2021
1845379490	AROA	01.01.2020	01.08.2021
3815698066	DLUP	01.01.2020	01.08.2021
2029812407	DFCD	01.01.2020	01.08.2021
8122561472	AROA	01.01.2021	01.03.2021
339836035200	AROA	01.01.2020	01.08.2021
352470152932	YRKT	05.05.2021	06.06.2021
226457514910	AROA	01.01.2019	01.01.2020
127367827100	KRLV	01.10.2019	01.01.2020
107428961174	WSSD	01.01.2020	01.08.2021
459797763596	DYJJ	01.12.2020	04.03.2021
071086331207	MKHB	01.01.2020	13.08.2021
334433729045	ZVDR	01.01.2020	01.08.2021
898920213969	JNIS	01.05.2020	01.08.2021
441822854493	ZVDR	01.01.2020	01.08.2021
018184587217	ZVDR	01.01.2020	01.08.2021
780797148923	JNIS	01.05.2020	01.08.2021
875075907294	DYJJ	01.12.2020	08.08.2021
147860679878	DLUP	01.01.2020	01.08.2021
227660566320	YRKT	01.01.2020	01.08.2021
935385810914	WSSD	01.01.2020	01.08.2021
753819483659	WSSD	01.01.2020	01.08.2021
197553400466	MKHB	01.05.2020	01.08.2021
583468035279	DLUP	01.01.2020	13.08.2021
459797763596	DYJJ	01.05.2021	08.08.2021
