INN	DF	ZONES	TYPE	ACTIVE
2029812407	01.01.2021	G	2020	Y
6133874085	01.01.2021	G	2020	Y
7424446757	01.01.2021	G	2020	Y
837934663463	01.01.2021	B	2017	Y
4970580948	01.01.2021	G	2017	Y
147860679878	01.01.2021	G	2020	Y
6357833456	01.01.2021	G	2020	Y
5787762049	01.01.2021	G	2020	Y
4940955916	01.01.2021	G	2020	Y
197553400466	01.01.2021	G	2017	Y
441822854493	01.01.2021	G	2020	Y
7743362088	01.01.2021	G	2017	Y
6133874085	01.01.2021	B	2017	Y
2611931207	01.01.2021	N	2020	Y
7123117752	01.01.2021	G	2020	Y
898920213969	01.01.2021	G	2020	Y
2120045299	01.01.2021	G	2020	Y
900399860887	01.01.2021	B	2020	Y
226457514910	01.01.2021	N	2020	Y
4691071097	01.01.2021	G	2017	Y
8464580902	01.01.2021	G	2017	N
0290271991	01.01.2021	N	2020	Y
6581059845	01.01.2021	G	2020	N
6357833456	01.01.2021	G	2017	Y
339836035200	01.01.2021	G	2020	N
306173632952	01.01.2021	G	2020	Y
8464580902	01.01.2021	G	2020	Y
3815698066	01.01.2021	G	2020	Y
701167026567	01.01.2021	N	2020	Y
8164410539	01.01.2021	G	2020	Y
3815698066	01.01.2021	G	2017	N
1160782664	01.01.2021	G	2017	Y
6705527674	01.01.2021	G	2020	Y
579601554699	01.01.2021	G	2020	Y
141464922966	01.01.2021	G	2020	N
459797763596	01.01.2021	G	2020	N
3179029519	01.01.2021	B	2020	Y
352470152932	01.01.2021	G	2020	Y
837934663463	01.01.2021	G	2020	Y
925929274051	01.01.2021	G	2020	N
018184587217	01.01.2021	G	2017	Y
2034217713	01.01.2021	B	2020	Y
141464922966	01.01.2021	N	2017	Y
227660566320	01.01.2021	G	2017	Y
935385810914	01.01.2021	G	2020	Y
2879849400	01.01.2021	G	2020	Y
339836035200	01.01.2021	G	2017	Y
3211764647	01.01.2021	G	2020	Y
0290271991	01.01.2021	B	2017	Y
9872688210	01.01.2021	N	2020	Y
2879849400	01.01.2021	G	2017	Y
145363944441	01.01.2021	G	2020	Y
5779709784	01.01.2021	N	2020	Y
7997336924	01.01.2021	G	2020	Y
8580960492	01.01.2021	G	2020	Y
8122561472	01.01.2021	G	2020	Y
459797763596	01.01.2021	N	2017	N
071086331207	01.01.2021	G	2020	N
8580960492	01.01.2021	N	2017	Y
137175390694	01.01.2021	N	2020	Y
334433729045	01.01.2021	G	2020	Y
583468035279	01.01.2021	N	2020	Y
1845379490	01.01.2021	N	2020	Y
753819483659	01.01.2021	N	2020	Y
107428961174	01.01.2021	G	2017	Y
780797148923	01.01.2021	G	2020	Y
071086331207	01.01.2021	N	2017	Y
925929274051	01.01.2021	G	2017	Y
565476724238	01.01.2021	G	2017	Y
107428961174	01.01.2021	N	2020	Y
4387541157	01.01.2021	G	2017	Y
875075907294	01.01.2021	G	2020	Y
2611931207	01.01.2021	G	2017	Y
127367827100	01.01.2021	G	2020	Y
196733777359	01.01.2021	N	2020	N
745643345730	01.01.2021	G	2017	Y
4691071097	01.01.2021	G	2020	N
8754864917	01.01.2021	G	2020	Y
197553400466	01.01.2021	G	2020	Y
1739921113	01.01.2021	G	2017	Y
8122561472	01.01.2021	G	2017	Y
8754864917	01.04.2021	G	2020	Y
5787762049	01.04.2021	B	2020	Y
2029812407	01.04.2021	G	2017	Y
950868863368	01.04.2021	G	2020	Y
147860679878	01.04.2021	G	2017	Y
8164410539	01.04.2021	G	2020	Y
925929274051	01.04.2021	G	2020	Y
227660566320	01.04.2021	G	2020	Y
6705527674	01.04.2021	B	2017	Y
9872688210	01.04.2021	N	2020	N
141464922966	01.04.2021	B	2017	Y
701167026567	01.04.2021	G	2020	Y
4940955916	01.04.2021	G	2020	Y
334433729045	01.04.2021	G	2020	Y
745643345730	01.04.2021	G	2017	Y
6357833456	01.04.2021	G	2020	Y
753819483659	01.04.2021	N	2017	Y
1160782664	01.04.2021	B	2017	Y
900399860887	01.04.2021	N	2020	Y
5779709784	01.04.2021	G	2020	Y
3815698066	01.04.2021	G	2017	N
7997336924	01.04.2021	N	2017	Y
4691071097	01.04.2021	N	2017	Y
2879849400	01.04.2021	N	2020	Y
196733777359	01.04.2021	G	2020	N
147860679878	01.04.2021	G	2020	Y
7997336924	01.04.2021	B	2020	Y
441822854493	01.04.2021	N	2017	Y
2120045299	01.04.2021	G	2020	Y
9872688210	01.04.2021	G	2017	N
900399860887	01.04.2021	G	2017	Y
8464580902	01.04.2021	G	2017	Y
339836035200	01.04.2021	N	2020	Y
583468035279	01.04.2021	G	2020	Y
875075907294	01.04.2021	G	2017	N
227660566320	01.04.2021	G	2017	Y
7743362088	01.04.2021	G	2020	Y
6133874085	01.04.2021	G	2020	Y
579601554699	01.04.2021	G	2017	Y
875075907294	01.04.2021	G	2020	Y
226457514910	01.04.2021	B	2020	Y
7123117752	01.04.2021	B	2020	Y
4970580948	01.04.2021	G	2017	Y
137175390694	01.04.2021	N	2020	Y
459797763596	01.04.2021	G	2020	Y
3211764647	01.04.2021	N	2017	Y
0290271991	01.04.2021	G	2017	Y
837934663463	01.04.2021	G	2020	Y
753819483659	01.04.2021	N	2020	Y
3815698066	01.04.2021	G	2020	Y
352470152932	01.04.2021	G	2020	N
3179029519	01.04.2021	N	2020	Y
935385810914	01.04.2021	G	2020	Y
1739921113	01.04.2021	N	2017	Y
4387541157	01.04.2021	N	2017	Y
6581059845	01.04.2021	G	2020	N
107428961174	01.04.2021	G	2020	Y
196733777359	01.04.2021	G	2017	Y
565476724238	01.04.2021	B	2020	Y
145363944441	01.04.2021	N	2020	Y
8754864917	01.04.2021	G	2017	Y
018184587217	01.04.2021	G	2020	Y
352470152932	01.04.2021	B	2017	Y
898920213969	01.04.2021	G	2017	Y
8122561472	01.04.2021	N	2017	Y
898920213969	01.04.2021	G	2020	Y
6581059845	01.04.2021	G	2017	N
2611931207	01.04.2021	G	2017	N
197553400466	01.04.2021	G	2020	Y
107428961174	01.04.2021	G	2017	Y
8580960492	01.04.2021	B	2020	Y
306173632952	01.04.2021	N	2017	Y
7424446757	01.04.2021	N	2020	Y
339836035200	01.04.2021	G	2017	Y
145363944441	01.04.2021	G	2017	N
0934137748	01.04.2021	G	2020	Y
8122561472	01.04.2021	N	2020	N
583468035279	01.04.2021	G	2017	N
1845379490	01.07.2021	N	2020	Y
4940955916	01.07.2021	G	2020	Y
2029812407	01.07.2021	G	2017	Y
197553400466	01.07.2021	N	2017	Y
071086331207	01.07.2021	G	2020	Y
1160782664	01.07.2021	G	2020	N
925929274051	01.07.2021	N	2020	Y
935385810914	01.07.2021	N	2020	Y
441822854493	01.07.2021	G	2017	Y
0290271991	01.07.2021	G	2020	Y
875075907294	01.07.2021	G	2017	Y
583468035279	01.07.2021	G	2017	N
196733777359	01.07.2021	G	2017	Y
7997336924	01.07.2021	G	2017	Y
5787762049	01.07.2021	G	2020	Y
780797148923	01.07.2021	G	2020	Y
2034217713	01.07.2021	N	2020	Y
745643345730	01.07.2021	G	2020	Y
745643345730	01.07.2021	G	2017	Y
1160782664	01.07.2021	G	2017	N
3179029519	01.07.2021	G	2020	Y
2120045299	01.07.2021	G	2020	Y
459797763596	01.07.2021	G	2020	Y
227660566320	01.07.2021	G	2020	Y
352470152932	01.07.2021	B	2020	Y
565476724238	01.07.2021	G	2017	Y
107428961174	01.07.2021	G	2020	Y
3211764647	01.07.2021	N	2020	Y
